"","Date","block","LeakVolume"
"605",2018-03-04,"PG_B5",24
"606",2018-03-05,"PG_B1",0
"607",2018-03-05,"PG_B2",0
"608",2018-03-05,"PG_B3",0
"609",2018-03-05,"PG_B4",0
"610",2018-03-05,"PG_B5",24
"611",2018-03-06,"PG_B1",0
"612",2018-03-06,"PG_B2",168
"613",2018-03-06,"PG_B3",0
"614",2018-03-06,"PG_B4",0
"615",2018-03-06,"PG_B5",24
"616",2018-03-07,"PG_B1",0
"617",2018-03-07,"PG_B2",96
"618",2018-03-07,"PG_B3",24
"619",2018-03-07,"PG_B4",0
"620",2018-03-07,"PG_B5",48
"621",2018-03-08,"PG_B1",0
"622",2018-03-08,"PG_B2",240
"623",2018-03-08,"PG_B3",0
"624",2018-03-08,"PG_B4",0
"625",2018-03-08,"PG_B5",0
"626",2018-03-09,"PG_B1",0
"627",2018-03-09,"PG_B2",120
"628",2018-03-09,"PG_B3",144
"629",2018-03-09,"PG_B4",0
"630",2018-03-09,"PG_B5",24
"631",2018-03-10,"PG_B1",0
"632",2018-03-10,"PG_B2",168
"633",2018-03-10,"PG_B3",24
"634",2018-03-10,"PG_B4",0
"635",2018-03-10,"PG_B5",0
"636",2018-03-11,"PG_B1",0
"637",2018-03-11,"PG_B2",264
"638",2018-03-11,"PG_B3",0
"639",2018-03-11,"PG_B4",0
"640",2018-03-11,"PG_B5",144
"641",2018-03-12,"PG_B1",0
"642",2018-03-12,"PG_B2",96
"643",2018-03-12,"PG_B3",120
"644",2018-03-12,"PG_B4",0
"645",2018-03-12,"PG_B5",0
"646",2018-03-13,"PG_B1",0
"647",2018-03-13,"PG_B2",0
"648",2018-03-13,"PG_B3",0
"649",2018-03-13,"PG_B4",0
"650",2018-03-13,"PG_B5",0
"651",2018-03-14,"PG_B1",0
"652",2018-03-14,"PG_B2",0
"653",2018-03-14,"PG_B3",0
"654",2018-03-14,"PG_B4",0
"655",2018-03-14,"PG_B5",120
"656",2018-03-15,"PG_B1",0
"657",2018-03-15,"PG_B2",0
"658",2018-03-15,"PG_B3",0
"659",2018-03-15,"PG_B4",0
"660",2018-03-15,"PG_B5",24
"661",2018-03-16,"PG_B1",0
"662",2018-03-16,"PG_B2",0
"663",2018-03-16,"PG_B3",0
"664",2018-03-16,"PG_B4",0
"665",2018-03-16,"PG_B5",0
"666",2018-03-17,"PG_B1",0
"667",2018-03-17,"PG_B2",96
"668",2018-03-17,"PG_B3",0
"669",2018-03-17,"PG_B4",0
"670",2018-03-17,"PG_B5",24
"671",2018-03-18,"PG_B1",0
"672",2018-03-18,"PG_B2",0
"673",2018-03-18,"PG_B3",96
"674",2018-03-18,"PG_B4",0
"675",2018-03-18,"PG_B5",48
"676",2018-03-19,"PG_B1",0
"677",2018-03-19,"PG_B2",0
"678",2018-03-19,"PG_B3",120
"679",2018-03-19,"PG_B4",0
"680",2018-03-19,"PG_B5",0
"681",2018-03-20,"PG_B1",0
"682",2018-03-20,"PG_B2",144
"683",2018-03-20,"PG_B3",96
"684",2018-03-20,"PG_B4",0
"685",2018-03-20,"PG_B5",0
"686",2018-03-21,"PG_B1",0
"687",2018-03-21,"PG_B2",24
"688",2018-03-21,"PG_B3",144
"689",2018-03-21,"PG_B4",0
"690",2018-03-21,"PG_B5",24
"691",2018-03-22,"PG_B1",0
"692",2018-03-22,"PG_B2",96
"693",2018-03-22,"PG_B3",96
"694",2018-03-22,"PG_B4",0
"695",2018-03-22,"PG_B5",168
"696",2018-03-23,"PG_B1",0
"697",2018-03-23,"PG_B2",48
"698",2018-03-23,"PG_B3",96
"699",2018-03-23,"PG_B4",0
"700",2018-03-23,"PG_B5",24
"701",2018-03-24,"PG_B1",0
"702",2018-03-24,"PG_B2",48
"703",2018-03-24,"PG_B3",120
"704",2018-03-24,"PG_B4",0
"705",2018-03-24,"PG_B5",144
"706",2018-03-25,"PG_B1",0
"707",2018-03-25,"PG_B2",48
"708",2018-03-25,"PG_B3",96
"709",2018-03-25,"PG_B4",0
"710",2018-03-25,"PG_B5",0
"711",2018-03-26,"PG_B1",0
"712",2018-03-26,"PG_B2",0
"713",2018-03-26,"PG_B3",96
"714",2018-03-26,"PG_B4",0
"715",2018-03-26,"PG_B5",0
"716",2018-03-27,"PG_B1",0
"717",2018-03-27,"PG_B2",0
"718",2018-03-27,"PG_B3",0
"719",2018-03-27,"PG_B4",0
"720",2018-03-27,"PG_B5",0
"721",2018-03-28,"PG_B1",0
"722",2018-03-28,"PG_B2",0
"723",2018-03-28,"PG_B3",0
"724",2018-03-28,"PG_B4",0
"725",2018-03-29,"PG_B1",0
"726",2018-03-29,"PG_B2",0
"727",2018-03-29,"PG_B3",72
"728",2018-03-29,"PG_B4",0
"729",2018-03-29,"PG_B5",24
"730",2018-03-30,"PG_B1",0
"731",2018-03-30,"PG_B2",24
