"","service_point_sn","id.x","min_5_flow","date","MinCons_60"
"628","3004479721",49,10,2016-12-17,9
"629","3004479721",49,10,2016-12-18,9
"630","3004479721",49,10,2016-12-19,9
"631","3004479721",49,10,2016-12-20,10
"632","3004479721",49,10,2016-12-21,10
"633","3004479721",49,10,2016-12-22,10
"634","3004479721",49,10,2016-12-23,10
"635","3004479721",49,10,2016-12-24,10
"636","3004479721",49,10,2016-12-25,10
"637","3004479721",49,10,2016-12-26,10
"638","3004479721",49,10,2016-12-27,10
"639","3004479721",49,10,2016-12-28,10
"640","3004479721",49,10,2016-12-29,11
"641","3004479721",49,10,2016-12-30,11
"642","3004479721",49,10,2016-12-31,11
"643","3004479721",49,10,2017-01-01,9
"644","3004479721",49,10,2017-01-02,9
"645","3004479721",49,8,2017-01-03,9
"646","3004479721",49,8,2017-01-04,10
"647","3004479721",49,8,2017-01-05,9
"648","3004479721",49,8,2017-01-06,9
"649","3004479721",49,8,2017-01-08,10
"650","3004479721",49,10,2017-01-09,9
"651","3004479721",49,10,2017-01-10,10
"652","3004479721",49,10,2017-01-11,10
"653","3004479721",49,10,2017-01-12,10
"654","3004479721",49,10,2017-01-13,10
"655","3004479721",49,0,2017-01-14,10
"656","3004479721",49,10,2017-01-15,10
"657","3004479721",49,10,2017-01-16,10
"658","3004479721",49,10,2017-01-17,10
"659","3004479721",49,10,2017-01-18,10
