"","id_family","pub_cust_id","created_at","is_active"
"377",214,"008927339146",2017-06-10 15:56:16,TRUE
"378",530,"008924670329",2017-06-19 10:23:45,TRUE
"379",155,"008929984683",2017-06-10 10:54:46,TRUE
"380",220,"008928142721",2017-06-17 12:12:22,TRUE
"381",263,"008927251747",2017-06-10 11:49:23,TRUE
"382",395,"008921121326",2017-06-13 20:20:15,TRUE
"383",443,"008923682911",2017-06-11 18:26:07,TRUE
"384",393,"008921535111",2017-06-10 10:03:11,TRUE
"385",64,"008901624794",2017-06-12 18:30:03,TRUE
"386",30,"008919791981",2017-06-10 15:31:45,TRUE
"387",113,"008901462443",2017-06-17 12:21:10,TRUE
"388",320,"008921032846",2017-06-10 11:13:29,TRUE
"389",388,"008921147925",2017-06-23 12:49:00,TRUE
"390",297,"008927393044",2017-06-12 11:22:28,TRUE
"391",149,"008931512118",2017-06-21 13:20:14,TRUE
"392",76,"008929996794",2017-06-10 10:51:15,TRUE
"393",429,"008926461610",2017-06-10 15:14:43,TRUE
"394",50,"008930614675",2017-06-10 20:08:20,TRUE
"395",478,"008923640265",2017-06-10 18:04:33,TRUE
"396",543,"008932919742",2017-06-10 20:27:05,TRUE
"397",1767,"008934028815",2017-06-12 20:21:39,TRUE
"398",136,"008918124754",2017-06-09 21:28:55,TRUE
"399",358,"008921335199",2017-06-19 21:46:17,TRUE
"400",560,"008933114418",2017-06-10 15:53:34,TRUE
"401",231,"008927304512",2017-07-06 17:54:42,TRUE
"402",265,"008927777212",2017-06-10 12:07:07,TRUE
"403",364,"008924388476",2017-06-17 10:48:20,TRUE
"404",100,"008931078508",2017-06-27 05:23:04,TRUE
"405",49,"008901656853",2017-06-10 12:34:39,TRUE
"406",363,"008928366049",2017-06-10 11:07:55,TRUE
"407",86,"008901624695",2017-06-14 19:06:55,TRUE
"408",16,"008924629838",2017-06-17 15:00:28,TRUE
"409",310,"008921958669",2017-06-10 14:07:08,TRUE
"410",216,"008927254485",2017-06-10 15:37:18,TRUE
"411",356,"008922802775",2017-06-10 11:38:19,TRUE
"412",233,"008929536848",2017-06-10 15:11:06,TRUE
"413",370,"008921106707",2017-06-11 17:24:27,TRUE
"414",454,"008925162730",2017-06-10 13:56:47,TRUE
"415",86,"008901624695",2017-06-14 19:07:36,TRUE
"416",133,"008901394521",2017-06-17 16:29:17,TRUE
"417",180,"008901363484",2017-06-10 10:07:10,TRUE
"418",42,"008927284623",2017-06-17 11:59:12,TRUE
"419",497,"008927977200",2017-06-19 18:32:02,TRUE
"420",516,"008925325006",2017-06-10 10:47:55,TRUE
"421",192,"008927273709",2017-07-03 19:46:19,TRUE
"422",296,"008927388853",2017-06-10 10:31:05,TRUE
"423",158,"008921987585",2017-06-13 23:29:44,TRUE
"424",391,"008920861161",2017-06-21 12:03:19,TRUE
"425",482,"008927020233",2017-06-24 09:42:48,TRUE
"426",433,"008926591655",2017-06-11 23:33:39,TRUE
"427",454,"008925162730",2017-06-11 09:39:02,TRUE
"428",163,"008901380538",2017-06-17 10:13:31,TRUE
"429",469,"008927517717",2017-06-17 11:29:42,TRUE
"430",11,"008901891088",2017-06-10 20:23:06,TRUE
"431",206,"008927298839",2017-06-12 10:26:33,TRUE
"432",543,"008932919742",2017-06-10 12:05:23,TRUE
"433",10,"008916975116",2017-06-10 11:14:02,TRUE
"434",165,"008901381890",2017-06-10 10:29:31,TRUE
"435",306,"008922231017",2017-06-17 13:02:47,TRUE
"436",289,"008927274004",2017-06-10 11:02:54,TRUE
"437",244,"008927360795",2017-06-21 15:10:06,TRUE
"438",317,"008922038776",2017-06-10 19:31:10,TRUE
"439",491,"008928982068",2017-06-10 19:39:09,TRUE
"440",447,"008928308280",2017-06-17 10:29:16,TRUE
"441",154,"008924285334",2017-06-17 16:35:50,TRUE
"442",148,"008930070084",2017-06-17 11:10:51,TRUE
"443",543,"008932919742",2017-06-13 02:09:36,TRUE
"444",378,"008920842674",2017-08-12 12:16:18,TRUE
"445",473,"008923993680",2017-06-09 20:06:44,TRUE
"446",454,"008925162730",2017-06-10 14:18:21,TRUE
"447",1791,"008934843429",2017-07-04 11:56:50,TRUE
"448",241,"008927297534",2017-06-17 11:23:46,TRUE
"449",432,"008923736915",2017-06-08 22:35:29,TRUE
"450",340,"008921106723",2017-06-17 11:25:21,TRUE
"451",375,"008921112002",2017-06-10 11:02:02,TRUE
"452",390,"008921140094",2017-07-06 20:07:37,TRUE
"453",367,"008921545631",2017-06-10 14:30:26,TRUE
"454",148,"008930070084",2017-06-17 10:57:32,TRUE
"455",72,"008922872224",2017-06-10 11:41:26,TRUE
"456",278,"008927348113",2017-06-20 07:51:22,TRUE
"457",163,"008901380538",2017-06-17 15:50:12,TRUE
"458",38,"008920954040",2017-06-11 22:37:40,TRUE
