"Date","Block","IndirectMasterMeters","IndirectSubMeters","IndirectNetConsumption","IndirectNetConsumptionRate","DirectMasterMeters","DirectSubMeters","DirectNetConsumption","DirectNetConsumptionRate","TotalMasterMeters","TotalNetConsumption","TotalNetConsumptionRate"
2016-12-11,"PG_B5",275919,278856,-2937,-1.1,98106,96479,1627,1.7,374025,-1310,-0.4
2016-12-04,"PG_B1",311325,305048,6277,2,99047,95562,3485,3.5,410372,9762,2.4
2016-12-04,"PG_B2",289948,281409,8539,2.9,79389,76983,2406,3,369337,10945,3
2016-12-04,"PG_B3",232479,240426,-7947,-3.4,69421,65222,4199,6,301900,-3748,-1.2
2016-12-04,"PG_B4",189347,181907,7440,3.9,62357,60887,1470,2.4,251704,8910,3.5
2016-12-04,"PG_B5",280513,276655,3858,1.4,97414,95742,1672,1.7,377927,5530,1.5
2016-11-27,"PG_B1",298480,292386,6094,2,128645,97628,31017,24.1,427125,37111,8.7
2016-11-27,"PG_B2",294596,281547,13049,4.4,80584,78395,2189,2.7,375180,15238,4.1
2016-11-27,"PG_B3",248262,239211,9051,3.6,64680,60068,4612,7.1,312942,13663,4.4
2016-11-27,"PG_B4",203641,188743,14898,7.3,62455,60885,1570,2.5,266096,16468,6.2
2016-11-27,"PG_B5",288861,281717,7144,2.5,102199,100323,1876,1.8,391060,9020,2.3
2016-11-20,"PG_B1",314958,301806,13152,4.2,101726,97410,4316,4.2,416684,17468,4.2
2016-11-20,"PG_B2",303898,284114,19784,6.5,80344,77403,2941,3.7,384242,22725,5.9
2016-11-20,"PG_B3",230958,227792,3166,1.4,67205,62566,4639,6.9,298163,7805,2.6
2016-11-20,"PG_B4",199131,191344,7787,3.9,59388,56987,2401,4,258519,10188,3.9
