"","date","TotalDailyConsumption","TotalHH","DailyLPCD"
"349",2017-02-06,130357,949,137.36248682824
"350",2017-02-07,129787,949,136.761854583772
"351",2017-02-08,127733,949,134.597471022129
"352",2017-02-09,127824,949,134.693361433087
"353",2017-02-10,126459,949,133.255005268704
"354",2017-02-11,139002,949,146.472075869336
"355",2017-02-12,138398,949,145.835616438356
"356",2017-02-13,132652,949,139.780821917808
"357",2017-02-14,126088,949,132.86406743941
"358",2017-02-15,129017,949,135.950474183351
"359",2017-02-16,126701,949,133.510010537408
"360",2017-02-17,132389,949,139.503688092729
"361",2017-02-18,136100,949,143.414120126449
"362",2017-02-19,143612,949,151.329820864067
"363",2017-02-20,135469,949,142.749209694415
"364",2017-02-21,127910,949,134.783983140148
"365",2017-02-22,131633,949,138.707060063224
"366",2017-02-23,128962,949,135.892518440464
"367",2017-02-24,121557,949,128.08956796628
"368",2017-02-25,138788,949,146.246575342466
"369",2017-02-26,144522,949,152.288724973656
"370",2017-02-27,136771,949,144.121180189673
"371",2017-02-28,130516,949,137.530031612223
"372",2017-03-01,129259,949,136.205479452055
"373",2017-03-02,129867,949,136.846153846154
"374",2017-03-03,129424,949,136.379346680717
"375",2017-03-04,137041,949,144.405690200211
"376",2017-03-05,146332,949,154.195995785037
"377",2017-03-06,139963,949,147.484720758693
"378",2017-03-07,135869,949,143.170706006322
"379",2017-03-08,130435,949,137.444678609062
"380",2017-03-09,126426,949,133.220231822972
"381",2017-03-10,123744,949,130.394099051633
"382",2017-03-11,135997,949,143.305584826133
"383",2017-03-12,133724,949,140.91043203372
"384",2017-03-13,131608,949,138.68071654373
"385",2017-03-14,123444,946,130.490486257928
"386",2017-03-15,126380,949,133.171759747102
"387",2017-03-16,123172,949,129.791359325606
"388",2017-03-17,119137,949,125.539515279241
"389",2017-03-18,129877,949,136.856691253952
"390",2017-03-19,140757,949,148.321390937829
"391",2017-03-20,137069,949,144.435194942044
"392",2017-03-21,129129,949,136.068493150685
"393",2017-03-22,134658,949,141.894625922023
"394",2017-03-23,127556,949,134.41095890411
"395",2017-03-24,126332,949,133.121180189673
"396",2017-03-25,137946,949,145.359325605901
"397",2017-03-26,145658,949,153.485774499473
"398",2017-03-27,135047,949,142.304531085353
"399",2017-03-28,130887,949,137.920969441517
"400",2017-03-29,129951,949,136.934668071654
"401",2017-03-30,130352,949,137.357218124341
"402",2017-03-31,128034,949,134.914646996839
"403",2017-04-01,134241,949,141.45521601686
"404",2017-04-02,142178,949,149.81875658588
"405",2017-04-03,134820,949,142.065331928346
"406",2017-04-04,128877,949,135.802950474183
"407",2017-04-05,129785,949,136.759747102213
"408",2017-04-06,127966,949,134.842992623815
"409",2017-04-07,122699,949,129.292939936776
"410",2017-04-08,135098,949,142.358271865121
"411",2017-04-09,142611,949,150.275026343519
"412",2017-04-10,134280,949,141.496311907271
"413",2017-04-11,130912,949,137.947312961012
"414",2017-04-12,129811,949,136.787144362487
"415",2017-04-13,122418,949,128.996838777661
"416",2017-04-14,138554,949,146
"417",2017-04-15,133179,949,140.336143308746
"418",2017-04-16,139548,949,147.04741833509
"419",2017-04-17,136991,949,144.353003161222
"420",2017-04-18,128904,949,135.831401475237
"421",2017-04-19,131768,949,138.849315068493
"422",2017-04-20,127367,949,134.211801896733
"423",2017-04-21,127555,949,134.40990516333
"424",2017-04-22,138421,949,145.859852476291
"425",2017-04-23,142846,949,150.522655426765
"426",2017-04-24,134573,949,141.805057955743
"427",2017-04-25,132973,949,140.119072708114
"428",2017-04-26,132137,949,139.238145416228
"429",2017-04-27,137485,949,144.873551106428
"430",2017-04-28,127748,949,134.613277133825
"431",2017-04-29,138377,949,145.813487881981
"432",2017-04-30,136695,949,144.041095890411
"433",2017-05-01,147063,949,154.966280295047
"434",2017-05-02,131375,949,138.435194942044
"435",2017-05-03,134373,949,141.594309799789
"436",2017-05-04,131502,949,138.569020021075
"437",2017-05-05,129869,949,136.848261327713
"438",2017-05-06,147848,949,155.793466807165
"439",2017-05-07,140566,949,148.120126448894
"440",2017-05-08,138112,949,145.534246575342
"441",2017-05-09,130865,949,137.897787144362
"442",2017-05-10,142694,949,150.36248682824
"443",2017-05-11,134144,949,141.353003161222
