"family_id","service_point_sn","meter_type","site","start_date","end_date","duration","min5flow_ave","severity","status","online_status","Comments"
413,"3100159955","SUB","Punggol",2017-12-04,2017-12-07,4,5,"Moderate","Close","INACTIVE",""
413,"3100159955","SUB","Punggol",2017-12-21,2017-12-24,4,3.33,"Moderate","Close","INACTIVE",""
419,"3100159823","SUB","Punggol",2017-05-13,2017-05-24,12,1,"Severe","Close","INACTIVE",""
421,"3100159959","SUB","Punggol",2017-03-14,2017-03-25,12,2.67,"Severe","Close","INACTIVE",""
421,"3100159959","SUB","Punggol",2017-03-29,2017-04-13,16,1,"Severe","Close","INACTIVE",""
422,"3100159491","SUB","Punggol",2016-07-04,2016-07-08,5,1,"Severe","Close","INACTIVE",""
422,"3100159491","SUB","Punggol",2016-08-11,2016-08-14,4,1,"Moderate","Close","INACTIVE",""
422,"3100159491","SUB","Punggol",2016-08-19,2016-08-27,9,1,"Severe","Close","INACTIVE",""
422,"3100159491","SUB","Punggol",2016-09-05,2016-09-09,5,1.33,"Severe","Close","INACTIVE",""
422,"3100159491","SUB","Punggol",2016-09-13,2016-09-28,16,1,"Severe","Close","INACTIVE",""
422,"3100159491","SUB","Punggol",2016-11-09,2016-11-12,4,1,"Moderate","Close","INACTIVE",""
422,"3100159491","SUB","Punggol",2016-12-29,2017-01-18,21,1,"Severe","Close","INACTIVE",""
422,"3100159491","SUB","Punggol",2017-02-07,2017-02-28,22,1,"Severe","Close","INACTIVE",""
422,"3100159491","SUB","Punggol",2017-03-20,2017-03-23,4,1,"Moderate","Close","INACTIVE",""
422,"3100159491","SUB","Punggol",2017-03-27,2017-04-01,6,1,"Severe","Close","INACTIVE",""
422,"3100159491","SUB","Punggol",2017-04-19,2017-04-28,10,1,"Severe","Close","INACTIVE",""
422,"3100159491","SUB","Punggol",2017-06-26,2017-07-01,6,1,"Severe","Close","INACTIVE",""
422,"3100159491","SUB","Punggol",2017-07-13,2017-08-01,20,1,"Severe","Close","INACTIVE",""
422,"3100159491","SUB","Punggol",2017-10-17,2017-10-21,5,1,"Severe","Close","INACTIVE",""
422,"3100159491","SUB","Punggol",2017-12-23,2017-12-26,4,1.33,"Moderate","Close","INACTIVE",""
422,"3100159491","SUB","Punggol",2018-01-18,2018-01-21,4,1,"Moderate","Close","INACTIVE",""
422,"3100159491","SUB","Punggol",2018-04-20,2018-05-02,13,1.33,"Severe","Close","INACTIVE",""
