"","service_point_sn","start_date","end_date","duration","min5flow_ave","status"
"125","3004479342","2016-10-16","2016-10-24",9,1.33,"Close"
"126","3004479342","2016-11-07","2016-11-10",4,1.33,"Close"
"127","3004479342","2016-11-14","2016-11-19",6,1.33,"Close"
"128","3004479342","2016-12-01","2017-02-25",87,2,"Close"
"129","3004479342","2017-05-07","2017-05-10",4,1,"Close"
"130","3004479342","2017-05-13","2017-05-16",4,1,"Close"
"131","3004479342","2017-06-14","2017-06-18",5,1,"Close"
"132","3004479342","2017-06-21","2017-06-29",9,1,"Close"
"133","3004479342","2017-09-04","2017-09-11",8,1,"Close"
"134","3004479342","2017-09-17","2017-10-17",31,1,"Close"
"135","3004479342","2017-10-25","2017-11-26",33,1.33,"Close"
"136","3004479091","2016-03-09","2016-04-20",43,14.67,"Close"
"137","3004521867","2016-10-24","2016-10-29",6,18.33,"Close"
"138","3004520880","2018-02-02","2018-02-05",4,10.33,"Close"
"139","3004520880","2018-01-24","2018-01-29",6,8,"Close"
"140","3004522058","2016-07-02","2016-07-08",7,1.67,"Close"
"141","3004522058","2018-01-20","2018-01-25",6,1.67,"Close"
"142","3004522297","2016-05-16","2016-06-08",24,1.67,"Close"
"143","3100249958","2016-12-02","2016-12-07",6,102.67,"Close"
"144","3100249914","2017-04-12","2017-04-16",5,2,"Close"
"145","3100249914","2017-04-24","2017-05-04",11,2,"Close"
"146","3100249914","2017-05-15","2017-05-20",6,2,"Close"
"147","3100249914","2017-05-23","2017-07-02",41,1.33,"Close"
"148","3100249926","2018-03-18","2018-03-30",13,4,"Close"
"149","3100249938","2016-07-13","2016-07-20",8,3.33,"Close"
"150","3005448539","2017-09-25","2017-09-28",4,30.67,"Close"
"151","3005448479","2016-09-01","2016-09-22",22,21,"Close"
"152","3005448479","2016-09-30","2016-10-03",4,2.67,"Close"
"153","3005448487","2017-02-14","2017-02-17",4,1.67,"Close"
"154","3005448487","2017-03-04","2017-03-08",5,1.33,"Close"
"155","3005448487","2017-04-03","2017-04-24",22,2,"Close"
"156","3005448487","2017-06-11","2017-07-27",47,3.33,"Close"
"157","3005448647","2018-01-04","2018-01-07",4,12,"Close"
"158","3100159955","2016-04-26","2016-05-10",15,2,"Close"
"159","3100159955","2017-12-04","2017-12-07",4,5,"Close"
"160","3100159955","2017-12-21","2017-12-24",4,3.33,"Close"
"161","3100159823","2017-05-13","2017-05-24",12,1,"Close"
"162","3100159959","2017-03-14","2017-03-25",12,2.67,"Close"
"163","3100159959","2017-03-29","2017-04-13",16,1,"Close"
"164","3100159491","2016-07-04","2016-07-08",5,1,"Close"
"165","3100159491","2016-08-11","2016-08-14",4,1,"Close"
"166","3100159491","2016-08-19","2016-08-27",9,1,"Close"
"167","3100159491","2016-09-05","2016-09-09",5,1.33,"Close"
"168","3100159491","2016-09-13","2016-09-28",16,1,"Close"
"169","3100159491","2016-11-09","2016-11-12",4,1,"Close"
"170","3100159491","2016-12-29","2017-01-18",21,1,"Close"
"171","3100159491","2017-02-07","2017-02-28",22,1,"Close"
"172","3100159491","2017-03-20","2017-03-23",4,1,"Close"
"173","3100159491","2017-03-27","2017-04-01",6,1,"Close"
"174","3100159491","2017-04-19","2017-04-28",10,1,"Close"
"175","3100159491","2017-06-26","2017-07-01",6,1,"Close"
"176","3100159491","2017-07-13","2017-08-01",20,1,"Close"
"177","3100159491","2017-10-17","2017-10-21",5,1,"Close"
"178","3100159491","2017-12-23","2017-12-26",4,1.33,"Close"
"179","3100159491","2018-01-18","2018-01-21",4,1,"Close"
"180","3100159491","2018-01-24","2018-02-06",14,1,"Close"
"181","3100159491","2018-03-03","2018-03-07",5,1,"Close"
"182","3100159759","2016-03-14","2016-04-22",40,5.33,"Close"
"183","3100159967","2016-09-26","2016-09-30",5,1,"Close"
"184","3100159643","2016-12-05","2016-12-08",4,4.67,"Close"
"185","3100159643","2017-01-01","2017-01-08",8,2.33,"Close"
"186","3100159643","2018-03-29","2018-04-02",5,1,"Close"
"187","3100159851","2016-03-13","2016-03-19",7,8.67,"Close"
"188","3100159851","2017-07-02","2017-07-06",5,1,"Close"
"189","3100159807","2017-11-06","2017-11-10",5,2.33,"Close"
"190","3100159807","2017-11-17","2017-12-05",19,5,"Close"
"191","3004521276","2016-10-30","2016-11-25",27,2,"Close"
"192","3004521276","2016-11-29","2016-12-21",23,1,"Close"
"193","3004521276","2017-01-09","2017-01-28",20,1.33,"Close"
"194","3004521276","2017-02-04","2017-02-13",10,2,"Close"
"195","3004521276","2017-02-19","2017-03-19",29,1.67,"Close"
"196","3004521276","2017-04-02","2017-04-12",11,4.33,"Close"
"197","3004521276","2017-05-30","2017-06-03",5,3.33,"Close"
"198","3004521276","2017-11-28","2017-12-02",5,1,"Close"
"199","3004521109","2017-09-06","2017-11-26",82,96.67,"Close"
"200","3004478755","2017-09-24","2017-09-27",4,1,"Close"
