"","id_service_point","date","MinCons_60"
"851",628,2018-05-05,0
"852",628,2018-05-06,0
"853",628,2018-05-07,0
"854",628,2018-05-08,0
"855",628,2018-05-09,0
"856",628,2018-05-10,0
"857",628,2018-05-11,0
"858",628,2018-05-12,0
"859",628,2018-05-13,0
"860",628,2018-05-14,0
"861",628,2018-05-15,0
"862",628,2018-05-16,0
"863",628,2018-05-17,0
"864",628,2018-05-18,0
"865",628,2018-05-19,0
"866",628,2018-05-20,0
"867",628,2018-05-21,0
"868",628,2018-05-22,0
"869",628,2018-05-23,0
"870",628,2018-05-24,0
"871",628,2018-05-25,0
"872",628,2018-05-26,0
"873",628,2018-05-27,0
"874",628,2018-05-28,0
"875",628,2018-05-29,0
"876",628,2018-05-30,0
"877",628,2018-05-31,0
"878",628,2018-06-01,0
"879",628,2018-06-02,0
"880",628,2018-06-03,4
"881",629,2018-04-01,0
"882",629,2018-04-02,0
"883",629,2018-04-03,0
"884",629,2018-04-04,0
"885",629,2018-04-05,0
"886",629,2018-04-06,0
"887",629,2018-04-07,0
"888",629,2018-04-08,14
"889",629,2018-04-10,0
"890",629,2018-04-11,25
"891",629,2018-04-13,0
"892",629,2018-04-14,0
"893",629,2018-04-15,9
"894",629,2018-04-16,0
"895",629,2018-04-17,0
"896",629,2018-04-19,0
"897",629,2018-04-21,0
"898",629,2018-04-25,0
"899",629,2018-05-01,0
"900",629,2018-05-02,26
"901",629,2018-05-04,0
"902",629,2018-05-05,0
"903",629,2018-05-06,0
"904",629,2018-05-07,0
"905",629,2018-05-08,0
"906",629,2018-05-09,0
"907",629,2018-05-10,0
"908",629,2018-05-11,0
"909",629,2018-05-12,0
"910",629,2018-05-13,0
"911",629,2018-05-14,0
"912",629,2018-05-15,0
"913",629,2018-05-16,0
"914",629,2018-05-17,77
"915",629,2018-05-18,0
"916",629,2018-05-24,0
"917",629,2018-05-25,0
"918",629,2018-05-26,0
"919",629,2018-05-27,0
"920",629,2018-05-28,0
"921",629,2018-05-29,0
"922",629,2018-05-30,0
"923",629,2018-05-31,0
"924",629,2018-06-01,0
"925",629,2018-06-02,0
"926",629,2018-06-03,0
"927",629,2018-06-04,11
"928",630,2018-04-01,0
"929",630,2018-04-02,0
"930",630,2018-04-03,0
"931",630,2018-04-04,0
"932",630,2018-04-05,0
"933",630,2018-04-06,0
"934",630,2018-04-07,0
"935",630,2018-04-08,0
"936",630,2018-04-09,0
"937",630,2018-04-10,0
"938",630,2018-04-11,0
"939",630,2018-04-12,41
"940",630,2018-04-14,0
"941",630,2018-04-15,0
"942",630,2018-04-16,64
