"id","code","family_id","results","special_challenge_options","challenge_start_date","challenge_end_date","created_date","updated_date","status"
258,"S03",1763,"AVAILABLE",NA,2017-09-04,2017-12-04,2017-09-04 15:00:02,2017-09-04 15:00:02,"-"
259,"S03",57,"AVAILABLE",NA,2017-09-04,2017-12-04,2017-09-04 15:00:02,2017-09-04 15:00:02,"-"
260,"S03",89,"AVAILABLE",NA,2017-09-04,2017-12-04,2017-09-04 15:00:02,2017-09-04 15:00:02,"-"
261,"S03",1791,"AVAILABLE",NA,2017-09-04,2017-12-04,2017-09-04 15:00:02,2017-09-04 15:00:02,"-"
262,"S03",1765,"AVAILABLE",NA,2017-09-04,2017-12-04,2017-09-04 15:00:02,2017-09-04 15:00:02,"-"
263,"S03",357,"AVAILABLE",NA,2017-09-04,2017-12-04,2017-09-04 15:00:02,2017-09-04 15:00:02,"-"
264,"S03",311,"AVAILABLE",NA,2017-09-04,2017-12-04,2017-09-04 15:00:02,2017-09-04 15:00:02,"-"
265,"S03",552,"AVAILABLE",NA,2017-09-04,2017-12-04,2017-09-04 15:00:02,2017-09-04 15:00:02,"-"
266,"S03",471,"AVAILABLE",NA,2017-09-04,2017-12-04,2017-09-04 15:00:02,2017-09-04 15:00:02,"-"
267,"S03",505,"AVAILABLE",NA,2017-09-04,2017-12-04,2017-09-04 15:00:02,2017-09-04 15:00:02,"-"
268,"S03",501,"AVAILABLE",NA,2017-09-04,2017-12-04,2017-09-04 15:00:02,2017-09-04 15:00:02,"-"
269,"S03",509,"AVAILABLE",NA,2017-09-04,2017-12-04,2017-09-04 15:00:02,2017-09-04 15:00:02,"-"
270,"S03",266,"AVAILABLE",NA,2017-09-04,2017-12-04,2017-09-04 15:00:02,2017-09-04 15:00:02,"-"
271,"S03",286,"AVAILABLE",NA,2017-09-04,2017-12-04,2017-09-04 15:00:02,2017-09-04 15:00:02,"-"
