"","date","block","MeanCountPerHour","MeterCount","HourlyIndexReadingRate"
"289",2018-05-12,"YH_B2",132,135,97.78
"290",2018-05-12,"YH_B3",24.375,25,97.5
"291",2018-05-12,"YH_B4",66.375,90,73.75
"292",2018-05-12,"YH_B5",109.916666666667,113,97.27
"293",2018-05-12,"YH_B6",75.25,92,81.79
"294",2018-05-12,"YH_B7",18,18,100
"295",2018-05-13,"YH_B1",59.8333333333333,99,60.44
"296",2018-05-13,"YH_B2",130.958333333333,135,97.01
"297",2018-05-13,"YH_B3",24.4166666666667,25,97.67
"298",2018-05-13,"YH_B4",61.75,90,68.61
"299",2018-05-13,"YH_B5",109.25,113,96.68
"300",2018-05-13,"YH_B6",76.4583333333333,92,83.11
"301",2018-05-13,"YH_B7",17.625,18,97.92
"302",2018-05-14,"YH_B1",59.875,99,60.48
"303",2018-05-14,"YH_B2",130.958333333333,135,97.01
"304",2018-05-14,"YH_B3",24.7916666666667,25,99.17
"305",2018-05-14,"YH_B4",62.4166666666667,90,69.35
"306",2018-05-14,"YH_B5",109.583333333333,113,96.98
"307",2018-05-14,"YH_B6",78.4166666666667,92,85.24
"308",2018-05-14,"YH_B7",17.9583333333333,18,99.77
"309",2018-05-15,"YH_B1",68.125,99,68.81
"310",2018-05-15,"YH_B2",131.458333333333,135,97.38
"311",2018-05-15,"YH_B3",24.9583333333333,25,99.83
"312",2018-05-15,"YH_B4",69.625,90,77.36
"313",2018-05-15,"YH_B5",109.541666666667,113,96.94
"314",2018-05-15,"YH_B6",74.625,92,81.11
"315",2018-05-15,"YH_B7",17.9166666666667,18,99.54
"316",2018-05-16,"YH_B1",65.625,99,66.29
"317",2018-05-16,"YH_B2",130.291666666667,135,96.51
"318",2018-05-16,"YH_B3",24.7083333333333,25,98.83
"319",2018-05-16,"YH_B4",69.5833333333333,90,77.31
"320",2018-05-16,"YH_B5",108.583333333333,113,96.09
"321",2018-05-16,"YH_B6",76.9583333333333,92,83.65
"322",2018-05-16,"YH_B7",17.7083333333333,18,98.38
"323",2018-05-17,"YH_B1",63.75,99,64.39
"324",2018-05-17,"YH_B2",130.333333333333,135,96.54
"325",2018-05-17,"YH_B3",24.5833333333333,25,98.33
"326",2018-05-17,"YH_B4",68.5833333333333,90,76.2
"327",2018-05-17,"YH_B5",108.958333333333,113,96.42
"328",2018-05-17,"YH_B6",71.5416666666667,92,77.76
"329",2018-05-17,"YH_B7",17.7916666666667,18,98.84
"330",2018-05-18,"YH_B1",58.9166666666667,99,59.51
"331",2018-05-18,"YH_B2",130.583333333333,135,96.73
"332",2018-05-18,"YH_B3",24.875,25,99.5
"333",2018-05-18,"YH_B4",65.9166666666667,90,73.24
"334",2018-05-18,"YH_B5",108.791666666667,113,96.28
"335",2018-05-18,"YH_B6",63.0416666666667,92,68.52
"336",2018-05-18,"YH_B7",17.8333333333333,18,99.07
"337",2018-05-19,"YH_B1",64.0833333333333,99,64.73
"338",2018-05-19,"YH_B2",129.916666666667,135,96.23
"339",2018-05-19,"YH_B3",24.875,25,99.5
"340",2018-05-19,"YH_B4",65.75,90,73.06
"341",2018-05-19,"YH_B5",108.5,113,96.02
"342",2018-05-19,"YH_B6",66.2916666666667,92,72.06
